CSDUID,DAUID
1005018,10050130
1005018,10050131
1005018,10050132
1005018,10050134
1005018,10050135
1005018,10050136
1005018,10050137
1005018,10050138
1005018,10050139
1005018,10050140
1005018,10050141
1005018,10050143
1005018,10050144
1005018,10050145
1005018,10050146
1005018,10050147
1005018,10050148
1005018,10050149
1005016,10050150
1005001,10050151
1005006,10050152
1005035,10050153
1005024,10050154
1005018,10050155
1005018,10050156
1005018,10050158
1005018,10050159
1005018,10050160
1005018,10050161
1005018,10050162
1005018,10050163
1006009,10060058
1006009,10060059
1006009,10060060
1006009,10060061
1006009,10060062
1006009,10060064
1006009,10060065
1006009,10060066
1006009,10060067
1006009,10060068
1006009,10060069
1006009,10060070
1006009,10060071
1006009,10060072
1006009,10060073
1006008,10060074
1006011,10060075
1006012,10060076
1006012,10060077
1006001,10060078
1006003,10060079
1006003,10060080
1006019,10060081
1006019,10060082
1006019,10060083
1006019,10060084
1006019,10060085
1006014,10060086
1006015,10060087
1006022,10060088
1006022,10060089
1006022,10060090
1006022,10060091
1006022,10060092
1006022,10060093
1006021,10060094
1006021,10060095
1006017,10060096
1006017,10060097
1006017,10060098
1006017,10060099
1006017,10060100
1006017,10060101
1006017,10060102
1006017,10060103
1006017,10060104
1006017,10060105
1006017,10060106
1006017,10060107
1006017,10060108
1006017,10060109
1006017,10060110
1006017,10060111
1006017,10060112
1006017,10060113
1006017,10060114
1006017,10060115
1006017,10060116
1006017,10060117
1006017,10060118
1006017,10060119
1006017,10060120
1006017,10060121
1006017,10060122
1006026,10060123
1006026,10060124
1006029,10060125
1006028,10060126
1006031,10060127
1006031,10060128
1006009,10060129
1006009,10060130
1007060,10070483
1007060,10070484
1007060,10070485
1007060,10070486
1007056,10070487
1007067,10070488
1007050,10070489
1007050,10070490
1007051,10070491
1007054,10070492
1007057,10070493
1007049,10070494
1007049,10070495
1007047,10070496
1007047,10070497
1007047,10070498
1007047,10070499
1007045,10070500
1007038,10070501
1007040,10070502
1007048,10070503
1007044,10070504
1007044,10070505
1007044,10070506
1007044,10070507
1007037,10070508
1007043,10070509
1007042,10070510
1007041,10070511
1007039,10070512
1007046,10070513
1007031,10070514
1007032,10070515
1007031,10070516
1007031,10070517
1007031,10070518
1007009,10070519
1007028,10070520
1007031,10070521
1007028,10070522
1007014,10070523
1007015,10070524
1007016,10070525
1007024,10070526
1007027,10070527
1007026,10070528
1007025,10070529
1007023,10070530
1007023,10070531
1007023,10070532
1007023,10070533
1007023,10070534
1007023,10070535
1007023,10070536
1007023,10070537
1007018,10070538
1007020,10070539
1007022,10070540
1007022,10070541
1007022,10070542
1007022,10070543
1007022,10070544
1007006,10070545
1007006,10070546
1007006,10070547
1007001,10070548
1007001,10070549
1007001,10070550
1007001,10070551
1007001,10070552
1007013,10070553
1007013,10070554
1007013,10070555
1007013,10070556
1007013,10070557
1007013,10070558
1007013,10070559
1007013,10070560
1007013,10070561
1007013,10070562
1007009,10070563
1007009,10070564
1007031,10070565
1007036,10070566
1008099,10080161
1008099,10080162
1008099,10080163
1008099,10080164
1008099,10080165
1008099,10080166
1008008,10080167
1008024,10080168
1008008,10080169
1008031,10080170
