DAUID,PRUID,Total_Minutes,Total_Kilometres
35430694,ON,14.59698283,12.86141588
35430696,ON,14.89619311,12.93719484
35430698,ON,15.79974162,13.44187929
35430699,ON,16.15316036,13.82169076
35430700,ON,15.36675375,15.41786369
35430701,ON,15.63229853,15.58552468
35430702,ON,16.31978874,15.40697876
35430703,ON,14.7558792,14.87287506
35430704,ON,15.33602255,13.48937202
35430705,ON,15.1180749,15.02499595
35430706,ON,14.79215395,12.92178626
35430707,ON,14.52296855,14.88824465
35430708,ON,15.27825933,15.56466832
35430709,ON,14.93072998,15.46325706
35430710,ON,15.79650231,15.96383026
35430711,ON,15.27011516,14.43874743
35430712,ON,16.3517373,14.90756384
35430713,ON,15.71766561,14.81665886
35430714,ON,15.8001659,14.85776684
35430715,ON,17.30347103,17.45179263
35430716,ON,19.17066742,19.48784477
35430717,ON,15.12384421,15.09400926
35430719,ON,21.53618266,21.38739016
35430720,ON,20.39593039,22.4775408
35430721,ON,20.56768199,22.92707599
35430722,ON,21.77919536,21.99403007
35430723,ON,20.80140514,23.44807603
35430724,ON,19.68478801,21.40523531
35430725,ON,21.82752942,22.82519739
35390739,ON,16.60667504,23.17994884
35390740,ON,19.46146108,17.45929596
35390841,ON,6.44034406,5.05527924
35410208,ON,15.45760086,18.80597474
35400186,ON,3.3955165,1.68977984
35420218,ON,10.72938606,11.27174998
35390842,ON,6.86585089,4.98588147
35390741,ON,15.86861411,22.80492507
35390941,ON,13.29248572,10.40925758
35420219,ON,15.72004056,17.1660994
35390742,ON,19.98069215,27.20962915
35410209,ON,20.35357487,23.85753329
35400187,ON,5.17487015,2.73161633
35390942,ON,7.90101055,5.28398573
35420220,ON,17.52540101,20.27894674
35390843,ON,6.29981061,5.18641709
35390743,ON,20.13582114,26.97101309
35410210,ON,19.03117884,24.18623215
35400188,ON,5.49596874,3.23596469
35390943,ON,8.59283747,5.49678022
35420221,ON,17.59858129,20.3619004
35390844,ON,10.35593406,10.51744143
35390744,ON,17.90179331,17.12369206
35410211,ON,13.64552637,16.11243792
35400189,ON,1.80368633,0.66179257
35390944,ON,8.71956223,5.03149665
35420222,ON,23.34483747,27.09892507
35390845,ON,13.6540698,12.60406253
35390745,ON,15.32617455,11.93273187
35410212,ON,13.98031963,16.55872955
35400190,ON,1.35480841,0.62817839
35390945,ON,8.76688086,4.9081897
35420223,ON,26.91412227,31.0467746
35390846,ON,11.93739911,11.53310822
35390746,ON,10.86225732,8.82942544
35410213,ON,12.63290387,15.12793451
35400191,ON,1.76064656,0.94928083
35390946,ON,7.0653672,4.30975802
35420224,ON,20.75732808,22.83844921
35390847,ON,12.85114384,12.2885034
35390848,ON,12.78168433,12.39951808
35390849,ON,12.04711418,11.68699355
35390850,ON,12.59632095,12.13909857
35390851,ON,13.46079304,12.35320593
35390852,ON,13.4432126,13.12801631
35390853,ON,12.83254444,9.89248081
35390854,ON,12.84330248,9.86037007
35390855,ON,14.16589358,12.68117853
35390856,ON,12.59798904,12.65965659
35390857,ON,11.83887311,11.85915803
35390858,ON,12.47269932,13.05478328
35390859,ON,13.4761665,9.74582468
35390860,ON,13.52332842,8.6408525
35390861,ON,18.40066225,15.238115
35390862,ON,17.30177424,19.14631366
35390863,ON,14.6040556,14.49729585
35390864,ON,15.51521369,15.45656015
35390865,ON,15.65429061,16.2896255
35390866,ON,16.46760364,19.55064557
35390867,ON,15.87169201,15.66029111
35390868,ON,15.41433031,15.38734261
35390869,ON,16.19167204,15.51344062
35390870,ON,15.85458769,18.28622886
35390871,ON,16.89930098,19.49159464
35390872,ON,14.20449811,14.94758603
35390873,ON,13.21821553,14.17324006
35390874,ON,11.89326707,11.89477605
35390875,ON,17.42606248,21.90873252
35390876,ON,19.55244647,24.72845384
35390877,ON,13.31089966,14.80556241
35390878,ON,14.44560371,18.05348928
35390879,ON,16.44476073,18.16210017
35390880,ON,21.50748584,22.86192091
35390881,ON,16.32457571,18.70515145
35390882,ON,19.17695682,22.3583133
35390883,ON,17.23483788,17.47688302
35390884,ON,10.15023832,11.01976499
35390885,ON,12.48527842,13.50221204
35390886,ON,17.18225823,21.53637639
35390887,ON,14.6622317,15.02599303
35390888,ON,18.41048927,23.26373761
35390889,ON,6.83906452,3.97997064
35390890,ON,8.34765263,4.52944322
35390891,ON,0.34955716,0.12302632
35390892,ON,5.57390028,3.73834945
35390893,ON,6.47822767,4.08230163
35390894,ON,4.86227452,3.39994165
35390895,ON,13.52477146,9.86939192
35390896,ON,12.32340168,9.21127382
35390897,ON,14.64969245,10.92217921
35390898,ON,14.15374952,10.41894485
35390899,ON,15.85031215,11.50807374
35390900,ON,14.73486498,11.06119804
35390901,ON,9.27579287,5.74675047
35390902,ON,9.84241541,6.21678097
35390903,ON,2.17950602,1.41279064
35390904,ON,3.79994835,1.8632384
35390905,ON,6.42228468,3.47141304
35390906,ON,7.18024128,3.86873594
35390907,ON,6.49802422,3.91885355
35390908,ON,7.01525128,4.79266525
35390909,ON,10.06399733,7.36481429
35390910,ON,9.71525026,7.35533485
35390911,ON,11.48516237,8.51637014
35390912,ON,10.88611283,7.89229439
35390913,ON,11.42750047,8.06067625
35390914,ON,6.74784592,3.95873674
35390915,ON,7.68850991,5.01378159
35390916,ON,6.56304614,4.3102377
35390917,ON,5.540392,3.66221745
35390918,ON,6.17021886,4.00959107
35390919,ON,5.18377521,3.70266957
35390920,ON,5.79437745,3.83736008
35390921,ON,7.65611821,4.53427391
35390922,ON,6.10372368,4.39235526
35390923,ON,5.42571046,3.2097903
35390924,ON,4.62116561,2.66446696
35390925,ON,7.03750409,4.37776923
35390926,ON,7.43686923,4.13501751
35390927,ON,8.37517577,4.64013405
35390928,ON,6.36986311,3.27266746
35390929,ON,7.55119437,4.03277394
35390747,ON,11.8405861,11.53856679
35400192,ON,3.09225562,1.55407016
35410214,ON,7.61793099,9.00376829
35390748,ON,19.47152198,21.47268494
35400193,ON,9.07461365,9.6906503
35420225,ON,15.66447377,16.21789544
35390749,ON,23.75708408,27.55693903
35410215,ON,9.46013515,10.21596322
35390750,ON,23.46457462,27.43376396
35410216,ON,8.97584218,10.71945917
35390947,ON,7.14298649,4.3143477
35390753,ON,24.40049768,24.83503014
35400194,ON,3.30502892,3.15531908
35420226,ON,19.98110693,21.95760328
35410217,ON,12.14397716,14.94337321
35390948,ON,7.84316242,4.95056882
35390754,ON,24.11347326,26.47701229
35400195,ON,9.43037369,11.81856433
35420227,ON,22.65775498,18.97636384
35410218,ON,15.16426545,17.20010334
35390949,ON,8.65342454,5.32357218
35390755,ON,27.13359757,29.29395197
35400196,ON,7.9777892,9.45132254
35420228,ON,13.92271556,11.42492357
35410219,ON,4.27834679,4.01144595
