"","DAUID","PRUID","y","x","Population"
"213",10010552,10,47.536948756001,-53.2127897193063,323
"214",10010553,10,47.5466184119726,-53.2286225872698,334
"215",10010554,10,47.5845797471354,-53.2066451754011,486
"216",10010555,10,47.5807657149353,-53.2422885502255,388
"217",10010556,10,47.612002576346,-52.9842347987882,264
"218",10010557,10,47.4993014783774,-53.2255218259756,356
"219",10010558,10,47.4873146933883,-53.2212697368985,406
"220",10010559,10,47.4567511197804,-53.2007485737858,281
"221",10010560,10,47.4569636151698,-53.2303003582261,613
"222",10010561,10,47.4316180948415,-53.231974594861,343
"223",10010562,10,47.4054375229776,-53.2154461235944,584
"224",10010563,10,47.415380305958,-53.1656957445503,492
"225",10010564,10,47.3821094919747,-53.1683837048108,540
"226",10010565,10,47.402205103409,-53.1442699145659,516
"227",10010566,10,47.4395695934403,-53.1534302141844,573
"228",10010567,10,47.4246334282291,-53.1080739652943,570
"229",10010568,10,47.4575583338524,-53.08369876285,626
"230",10010569,10,47.4573900284317,-53.0780594143651,490
"231",10010570,10,47.4663819540557,-53.0631867545177,732
"232",10010571,10,47.4553287984673,-53.0579568405741,463
"233",10010572,10,47.4803261653106,-53.0438173971602,1517
"234",10010573,10,47.4887925582131,-53.04254618424,1302
"235",10010574,10,47.4866208391029,-53.0330126505483,440
"236",10010575,10,47.4852574312744,-53.0096296915663,1553
"237",10010576,10,47.4885148606214,-53.0212371751132,797
"238",10010577,10,47.4940252517169,-53.0190049938827,415
"239",10010578,10,47.4985597058134,-53.0260937069431,578
"240",10010579,10,47.5076496490857,-53.0083313566966,920
"241",10010580,10,47.499137545571,-53.0107982455867,616
"242",10010581,10,47.4990265406245,-53.0041186613145,656
"243",10010582,10,47.4993826710297,-52.9985934804194,633
"244",10010583,10,47.4993372345907,-52.9932042949839,655
"245",10010584,10,47.5000606522589,-52.9889594359232,1029
"246",10010585,10,47.5015096181398,-52.9830253738134,665
"247",10010586,10,47.5036280629497,-52.9785540262024,714
"248",10010587,10,47.5110919407677,-52.9712573562184,304
