CSDUID,Total_Sec,Total_Min
1101048,2457.8444652000003,41.0
1101050,1846.5506958,31.0
1101052,2272.8761442,38.0
1102002,890.4985993010077,15.0
1102003,626.0444183999999,11.0
1102005,574.1639292,10.0
1102010,563.9617953931146,10.0
1102011,618.7588236,11.0
1102013,451.8257076,8.0
1102015,457.636539,8.0
1102016,318.73606889579827,6.0
1102017,174.83272130727144,3.0
1102018,261.83429661560103,5.0
1102019,288.43401,5.0
1102020,255.6229974,5.0
1102021,213.77948039999998,4.0
1102022,395.94393943582355,7.0
1102030,329.2192452,6.0
1102032,406.695258,7.0
1102034,350.065689,6.0
1102035,441.743559,8.0
1102037,372.7894674,7.0
1102040,439.7310474762542,8.0
1102043,475.7544060000001,8.0
1102045,453.1376946,8.0
1102046,475.4980236,8.0
1102050,475.85101920000005,8.0
1102051,482.8702848,9.0
1102055,474.13023906757684,8.0
1102057,292.7094558,5.0
1102059,360.3837318,7.0
1102061,334.6660764,6.0
1102064,548.8246536491547,10.0
1102066,648.9910258142077,11.0
1102067,772.9656667130399,13.0
1102068,948.4091547622804,16.0
1102069,913.8920393999999,16.0
1102070,798.0415079999999,14.0
1102071,1229.659756616568,21.0
1102072,1753.274165575796,30.0
1102073,1316.4944774037965,22.0
1102075,965.6552924284573,17.0
1102080,1243.108681775785,21.0
1102085,958.5295329121385,16.0
1103002,3980.7660846,67.0
1103003,3837.5535786602336,64.0
1103004,2992.2056904,50.0
1103005,2871.194862159137,48.0
1103007,2688.914070361713,45.0
1103008,3250.0082742,55.0
1103014,1466.2920988589403,25.0
1103015,381.63631685594856,7.0
1103018,481.2512232,9.0
1103020,394.26457714456103,7.0
1103021,272.9737986,5.0
1103022,316.24420380000004,6.0
1103023,275.07993600000003,5.0
1103024,246.9006018,5.0
1103025,586.6917631242671,10.0
1103027,781.2480414,14.0
1103029,577.362741,10.0
1103033,547.3190016,10.0
1103035,535.1304798,9.0
1103039,1294.4434434,22.0
1103040,1884.543932619788,32.0
1103042,1987.566109471233,34.0
1103043,3654.6180190878654,61.0
1103050,3757.4609142,63.0
1103052,4001.821610536049,67.0
1103053,3266.4078606000003,55.0
1103055,4078.0665192,68.0
1103057,3658.8494202,61.0
1103059,3710.4786396290324,62.0
1103060,2494.8605682,42.0
1103061,1721.2412037423333,29.0
1103062,908.5664076,16.0
1103063,1190.5383832523416,20.0
1103064,1122.1366301187443,19.0
1103065,2140.7332654950114,36.0
1103066,3327.0849708,56.0
1103067,1828.3173468704856,31.0
1103068,1364.3698374,23.0
1201001,1050.1888659318718,18.0
1201004,1941.0244092000007,33.0
1201006,2519.2605465880074,42.0
1201008,1988.714570978832,34.0
1201009,1710.9208463999998,29.0
1202001,527.4597613933418,9.0
1202004,441.00283575663053,8.0
1202006,1415.1084197525552,24.0
1202040,2224.433523,38.0
1203001,1325.2597733745245,23.0
1203004,2103.1578739581605,36.0
1203006,1410.2528422344828,24.0
1203009,981.5119104,17.0
1204001,2045.9801736,35.0
1204009,2551.9962744,43.0
1204010,1062.0547548231434,18.0
1204015,2021.449263,34.0
1205001,2192.930518494195,37.0
1205002,,
1205004,2608.938509072408,44.0
1205006,2272.5286782,38.0
1205008,2652.2716692000004,45.0
1205009,2077.5522012880315,35.0
1205014,2384.652656776926,40.0
1205016,1698.9313983914576,29.0
1206001,977.6562475503935,17.0
1206004,2211.1185473847786,37.0
1206006,691.8478168154425,12.0
1206008,916.6808595586466,16.0
1206009,956.9521899335266,16.0
1206011,1163.2855662,20.0
1206014,1222.1310066,21.0
1206016,,
1207001,451.9331133289197,8.0
1207002,514.9177482,9.0
1207004,763.652681199837,13.0
1207011,1129.4869395950886,19.0
1207012,907.069782962715,16.0
1207016,1332.006212534198,23.0
1207021,2019.1483270875005,34.0
1207024,1691.219423859047,29.0
1207027,1099.5506064,19.0
1208003,1639.7098098643087,28.0
1208008,1442.3278799960945,25.0
1208014,1309.961632834392,22.0
1209019,1227.9401408625001,21.0
1209034,,
1209037,1056.7370652000002,18.0
1209038,1514.3050314,26.0
1209800,2239.944669,38.0
1210001,1398.8749581731965,24.0
1210002,1187.1275823895955,20.0
1210003,717.4718105967427,12.0
1210006,472.745732334692,8.0
1210008,872.1052212968193,15.0
1210012,1768.8811852106858,30.0
1211001,2702.9164456061853,46.0
1211006,1317.7527826962867,22.0
1211009,2849.05967551686,48.0
1211011,517.703968045789,9.0
1211012,321.6566941820513,6.0
1211014,1056.513859460845,18.0
1212001,865.0266629457825,15.0
1212004,226.23924122259416,4.0
1212006,324.7681975564282,6.0
1212008,403.6976326879661,7.0
1212009,554.4447927566757,10.0
1212011,1021.9811910470784,18.0
1212014,914.1148564195123,16.0
1212016,1645.585938249273,28.0
1212019,1780.3950672,30.0
1212023,,
1213001,1614.1260795590006,27.0
1213004,2591.8910421723012,44.0
1213008,431.45033512727275,8.0
1214001,1253.1196959609508,21.0
1214002,366.72963218131446,7.0
1214006,826.2461563227762,14.0
1214010,1366.3912966645162,23.0
1215001,1138.116584119419,19.0
1215002,932.8570111657942,16.0
1215005,682.0527930000001,12.0
1215006,1886.5792031346355,32.0
1215008,902.3709906,16.0
1215011,1436.3509204355673,24.0
1216001,2124.663874357844,36.0
1216006,877.3177703306405,15.0
1216011,1539.4574834619877,26.0
1216014,2416.2392202,41.0
1217008,2111.096325,36.0
1217020,2112.7669867252484,36.0
1217030,537.0564163017312,9.0
1218001,1604.137966905666,27.0
1218003,3483.5152937999997,59.0
1218006,2928.6067823245794,49.0
1301001,978.2662297564995,17.0
1301002,776.5700676,13.0
1301004,717.2922893115258,12.0
1301006,575.0398509031634,10.0
1301016,1717.7641820035115,29.0
1302001,3024.3507384,51.0
1302004,2793.805501174078,47.0
1302006,2184.402966,37.0
1302008,1920.5804976366128,33.0
1302011,2028.1140604682269,34.0
1302012,2242.0979194571114,38.0
1302014,1973.2754964,33.0
1302016,3525.781759808417,59.0
1302018,3221.7515361461683,54.0
1302021,1708.3154195999998,29.0
1302024,1478.1520074,25.0
1302026,1135.8746754990234,19.0
1302028,617.6994912,11.0
1302031,514.2115326,9.0
1302034,821.7057078093358,14.0
1302037,318.49767762372505,6.0
1302039,994.5788401300782,17.0
1302042,1567.2427771608166,27.0
1302044,719.3983698,12.0
1302052,873.7767146242775,15.0
1303001,3062.040929159074,52.0
1303004,1691.1952026,29.0
1303005,1597.8665328,27.0
1303006,657.404358,11.0
1303008,712.1099708033249,12.0
1303011,343.6540575184313,6.0
1303012,1032.1368406324377,18.0
1303013,1459.5665202,25.0
1303014,915.7089137202703,16.0
1303016,415.075707562754,7.0
1303018,111.3752514,2.0
1304001,3736.856752744225,63.0
1304004,3355.533707400001,56.0
1304005,2427.1379436,41.0
1304006,3302.928471,56.0
1304008,1471.0272972,25.0
1304011,2877.721806,48.0
1304013,2291.362989,39.0
1304014,1814.6736618,31.0
1304016,1758.3106421999998,30.0
1304018,2861.8253519880395,48.0
1304021,2245.475494048249,38.0
1304022,2051.1659577929277,35.0
1304024,2452.7815085113716,41.0
1304025,2848.649813954038,48.0
