ED_ID,Province,PRUID,ED_Name,x,y,lat,lng,Address,City,Postal_Code
528,Quebec,QC,CENTRE HOSPITALIER ANNA-LABERGE,-73.76509664,45.3448205,45.3448205,-73.76509664,200 BOUL BRISEBOIS,CHÂTEAUGUAY,J6K4W8
529,Quebec,QC,CENTRE HOSPITALIER BEAUCE-ÉTCHEMIN,-70.68495501,46.11002095,46.11002095,-70.68495501,1515 17 RUE,SAINT GEORGES,G5Y4T8
530,Quebec,QC,CENTRE HOSPITALIER D'AMQUI,-67.41959034,48.46851521,48.46851521,-67.41959034,135 RUE DE L'HÔPITAL,AMQUI,G5J2K5
531,Quebec,QC,CENTRE HOSPITALIER DE CHANDLER,-64.67194054,48.35395655,48.35395655,-64.67194054,451 RUE MGR ROSS E,CHANDLER,G0C1K0
532,Quebec,QC,CENTRE HOSPITALIER DE LA MRC D'ASBESTOS,-71.92639408,45.77127354,45.77127354,-71.92639408,475 3 AV,ASBESTOS,J1T1X6
533,Quebec,QC,CENTRE HOSPITALIER D'ARGENTEUIL,-74.35110315,45.66261126,45.66261126,-74.35110315,145 AV DE LA PROVIDENCE,LACHUTE,J8H4C7
534,Quebec,QC,CENTRE HOSPITALIER DE LACHINE,-73.67801797,45.44089588,45.44089588,-73.67801797,650 16 AV,MONTRÉAL,H8S3N5
535,Quebec,QC,CENTRE HOSPITALIER DE MATANE,-67.52403304,48.84417191,48.84417191,-67.52403304,333 RUE THIBAULT,MATANE,G4W2W5
536,Quebec,QC,CENTRE HOSPITALIER DE LA RÉGION DE L'AMIANTE,-71.27665376,46.10883365,46.10883365,-71.27665376,1717 RUE NOTRE DAME E,THETFORD MINES,G6G2V4
537,Quebec,QC,CENTRE HOSPITALIER DE LASALLE,-73.6218241,45.42170841,45.42170841,-73.6218241,8585 TSSE CHAMPLAIN,MONTRÉAL,H8P1C1
538,Quebec,QC,CENTRE HOSPITALIER DU GRANIT,-70.90520796,45.58941114,45.58941114,-70.90520796,3569 RUE LAVAL,LAC MEGANTIC,G6B1A5
539,Quebec,QC,CENTRE HOSPITALIER DU CENTRE-DE-LA-MAURICIE,-72.74202115,46.52465647,46.52465647,-72.74202115,50 119E RUE,SHAWINIGAN SUD,G9P5K1
