CSDUID,Average_Travel_Minutes
2413030,20.0
2413040,12.0
2413045,24.0
2413050,23.0
2413055,32.0
2413060,25.0
2413065,30.0
2413073,36.0
2413075,22.0
2413080,12.0
2413085,10.0
2413090,10.0
2413095,11.0
2413100,27.0
2414005,15.0
2414010,16.0
2414018,23.0
2414025,24.0
2414030,23.0
2414035,26.0
2414040,28.0
2414045,23.0
2414050,18.0
2414055,15.0
2414060,21.0
2414065,10.0
2414070,11.0
2414075,17.0
2414080,7.0
2414085,4.0
2414090,11.0
2414902,40.0
2414904,
2415005,59.0
2415013,11.0
2415025,16.0
2415030,14.0
2415035,11.0
2415058,38.0
2415065,23.0
2415902,22.0
2415904,23.0
2416005,24.0
2416013,16.0
2416023,10.0
2416048,18.0
2416050,35.0
2416055,26.0
2416902,
2417005,17.0
2417010,26.0
2417015,21.0
2417020,28.0
2417025,29.0
2417030,22.0
2417035,22.0
2417040,26.0
2417045,21.0
2417055,38.0
2417060,18.0
2417065,50.0
2417070,54.0
2417078,57.0
2418005,36.0
2418010,17.0
2418015,14.0
2418020,14.0
2418025,8.0
2418030,7.0
2418035,7.0
2418040,9.0
2418045,8.0
2418050,11.0
2418055,42.0
2418060,44.0
2418065,57.0
2418070,47.0
2419005,15.0
2419010,21.0
2419015,21.0
2419020,18.0
2419025,18.0
2419030,24.0
2419037,27.0
2419045,33.0
2419050,34.0
2419055,35.0
2419062,28.0
2419068,24.0
2419070,46.0
2419075,46.0
2419082,47.0
2419090,44.0
2419097,40.0
2419105,31.0
2419110,25.0
2419117,53.0
2420005,39.0
2420010,34.0
2420015,26.0
2420020,24.0
2420025,20.0
2420030,18.0
2421005,44.0
2421010,13.0
2421015,
2421020,6.0
2421025,5.0
2421030,7.0
2421035,18.0
2421040,17.0
2421045,18.0
2421902,
2421904,
2422005,35.0
2422010,24.0
2422015,26.0
2422020,22.0
2422025,23.0
2422030,29.0
2422035,23.0
2422040,21.0
2422045,26.0
2422902,
2423015,26.0
2423027,10.0
2423057,13.0
2423072,12.0
2423802,9.0
2425213,9.0
2426005,24.0
2426010,23.0
2426015,15.0
2426022,21.0
2426030,28.0
2426035,30.0
2426040,29.0
2426048,30.0
2426055,35.0
2426063,34.0
2426070,36.0
2427008,29.0
2427015,21.0
2427028,22.0
2427035,26.0
2427043,29.0
2427050,30.0
2427055,34.0
2427060,25.0
2427065,27.0
2427070,27.0
2428005,49.0
2428015,38.0
2428020,35.0
2428025,21.0
2428030,23.0
2428035,23.0
2428040,30.0
2428045,28.0
2428053,38.0
2428060,40.0
2428065,48.0
